address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Респ Адыгея, г Адыгейск",385200,Россия,Южный,Респ,Адыгея,,,г,Адыгейск,,,0100000200000,ccdfd496-8108-4655-aadd-bd228747306d,4,0,79403000000,79703000001,0107,UTC+3,44.878414,39.190289,12689,1969
г Майкоп,385000,Россия,Южный,Респ,Адыгея,,,г,Майкоп,,,0100000100000,8cfbe842-e803-49ca-9347-1ef90481dd98,4,2,79401000000,79701000001,0105,UTC+3,44.6098268,40.1006606,144055,1857
г Горно-Алтайск,649000,Россия,Сибирский,Респ,Алтай,,,г,Горно-Алтайск,,,0400000100000,0839d751-b940-4d3d-afb6-5df03fdd7791,4,2,84401000000,84701000001,0400,UTC+7,51.9581028,85.9603235,62861,1830
"Алтайский край, г Алейск",658125,Россия,Сибирский,край,Алтайский,,,г,Алейск,,,2200000200000,ae716080-f27b-40b6-a555-cf8b518e849e,4,0,01403000000,01703000001,2201,UTC+7,52.4922513,82.7793606,28528,1913
г Барнаул,656000,Россия,Сибирский,край,Алтайский,,,г,Барнаул,,,2200000100000,d13945a8-7017-46ab-b1e6-ede1e89317ad,4,2,01401000000,01701000001,2200,UTC+7,53.3479968,83.7798064,635585,1730
"Алтайский край, г Белокуриха",659900,Россия,Сибирский,край,Алтайский,,,г,Белокуриха,,,2200000300000,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,4,0,01404000000,01704000001,2204,UTC+7,51.996152,84.9839604,15072,1846
"Алтайский край, г Бийск",659300,Россия,Сибирский,край,Алтайский,,,г,Бийск,,,2200000400000,52f876f6-cb1d-4f23-a22f-b692609fc1e0,4,0,01405000000,01705000001,2204,UTC+7,52.5393864,85.2138453,203826,1709
"Алтайский край, г Горняк",658420,Россия,Сибирский,край,Алтайский,р-н,Локтевский,г,Горняк,,,2202700100000,094b3627-2699-4782-8492-4d82aac71958,4,1,01225501000,01625101001,2209,UTC+7,50.9979622,81.4643358,13040,1942
"Алтайский край, г Заринск",659100,Россия,Сибирский,край,Алтайский,,,г,Заринск,,,2200001100000,142e04ef-dec1-44fa-b553-fac215764374,4,0,01406000000,01706000001,2208,UTC+7,53.7063476,84.9315081,47035,1748
"Алтайский край, г Змеиногорск",658480,Россия,Сибирский,край,Алтайский,р-н,Змеиногорский,г,Змеиногорск,,,2201500100000,e7001b8f-d104-4873-96d4-66339f5e530a,4,1,01214501000,01614101001,2209,UTC+7,51.1581094,82.1872547,10569,1736
"Алтайский край, г Камень-на-Оби",658700,Россия,Сибирский,край,Алтайский,р-н,Каменский,г,Камень-на-Оби,,,2201800100000,810ca9c7-f10e-4def-9c48-f0aa83168ca7,4,1,01216501000,01616101001,2207,UTC+7,53.7913974,81.3545053,41787,1751
"Алтайский край, г Новоалтайск",658041,Россия,Сибирский,край,Алтайский,,,г,Новоалтайск,,,2200000800000,aa288d9f-4b2a-42a6-97f0-3502dddfa383,4,0,01413000000,01713000001,2208,UTC+7,53.4119759,83.9311069,73134,1736
"Алтайский край, г Рубцовск",658200,Россия,Сибирский,край,Алтайский,,,г,Рубцовск,,,2200000900000,65db5c88-c65c-43f0-9c21-13e15a032d4a,4,0,01416000000,01716000001,2209,UTC+7,51.5012067,81.2078695,146386,1892
"Алтайский край, г Славгород",658820,Россия,Сибирский,край,Алтайский,,,г,Славгород,,,2200001000000,94ae181d-b153-4dd1-8a2f-12852919875f,4,0,01419000000,01719000001,2210,UTC+7,52.999463,78.6459232,30370,1910
"Алтайский край, г Яровое",658837,Россия,Сибирский,край,Алтайский,,,г,Яровое,,,2200001200000,e07d57ed-22ce-4020-b59c-f7aae6f091bf,4,0,01430000000,01730000001,2210,UTC+7,52.9252146,78.5729775,18085,1943
"Амурская обл, г Белогорск",676805,Россия,Дальневосточный,обл,Амурская,,,г,Белогорск,,,2800000300000,c528e99b-7e81-4290-9cda-8713884472a5,4,0,10410000000,10710000001,2804,UTC+9,50.9213415,128.4739471,68220,1860
г Благовещенск,675000,Россия,Дальневосточный,обл,Амурская,,,г,Благовещенск,,,2800000100000,8f41253d-6e3b-48a9-842a-25ba894bd093,4,2,10401000000,10701000001,2801,UTC+9,50.290659,127.527198,214397,1856
